TBLID,GEOID,GEONAME,PROFLN,ESTIMATE,MG_ERROR
TITLE:,"PERCENT OF PEOPLE 5 YEARS AND OVER WHO SPEAK ENGLISH LESS THAN ""VERY WELL""",,,,
R1603,05000US01069,"Houston County, Alabama",54,1,+/-0.4
R1603,05000US01073,"Jefferson County, Alabama",54,2.6,+/-0.3
R1603,05000US01089,"Madison County, Alabama",54,2.5,+/-0.6
R1603,05000US01101,"Montgomery County, Alabama",54,2.7,+/-0.4
R1603,05000US02020,"Anchorage Municipality, Alaska",54,5.3,+/-1.0
R1603,05000US02170,"Matanuska-Susitna Borough, Alaska",54,2.1,+/-0.6
R1603,05000US04003,"Cochise County, Arizona",54,6.5,+/-1.5
R1603,05000US04005,"Coconino County, Arizona",54,4.9,+/-0.9
R1603,05000US04013,"Maricopa County, Arizona",54,8.1,+/-0.3
R1603,05000US04019,"Pima County, Arizona",54,8.5,+/-0.7
R1603,05000US04021,"Pinal County, Arizona",54,5.5,+/-0.7
R1603,05000US04025,"Yavapai County, Arizona",54,4.5,+/-1.3
R1603,05000US04027,"Yuma County, Arizona",54,18.9,+/-2.0
R1603,05000US05007,"Benton County, Arkansas",54,6.3,+/-0.8
R1603,05000US05119,"Pulaski County, Arkansas",54,2.7,+/-0.7
R1603,05000US05143,"Washington County, Arkansas",54,9.2,+/-1.4
R1603,05000US06001,"Alameda County, California",54,14.2,+/-0.6
R1603,05000US06007,"Butte County, California",54,5.2,+/-0.9
R1603,05000US06013,"Contra Costa County, California",54,12.4,+/-0.6
R1603,05000US06017,"El Dorado County, California",54,4,+/-0.9
R1603,05000US06019,"Fresno County, California",54,19.4,+/-1.0
R1603,05000US06029,"Kern County, California",54,18.5,+/-1.0
R1603,05000US06031,"Kings County, California",54,27.2,+/-3.1
R1603,05000US06037,"Los Angeles County, California",54,23.3,+/-0.3
R1603,05000US06041,"Marin County, California",54,8.1,+/-1.3
R1603,05000US06047,"Merced County, California",54,22.3,+/-2.1
R1603,05000US06053,"Monterey County, California",54,24.1,+/-1.4
R1603,05000US06055,"Napa County, California",54,13.5,+/-1.6
R1603,05000US06059,"Orange County, California",54,18.2,+/-0.5
R1603,05000US06061,"Placer County, California",54,5,+/-0.7
R1603,05000US06065,"Riverside County, California",54,13.5,+/-0.5
